"product_sku","product_name","product_s_desc","category_path","product_currency","product_publish"
"SCFP00251","SIL 4 X 5 X 8 X 1,15",,"Silenciadores Camiones/Silenciadores Camiones Diesel","VEB","Y"
"SCFP00251C","SIL 4 X 5 X 8 X 1,15 CROM.",,"Silenciadores Camiones/Silenciadores Camiones Diesel","VEB","Y"
"SCFP00262","SIL. 4 X 5 X 9 X 1,15  PINT.",,"Silenciadores Camiones/Silenciadores Camiones Diesel","VEB","Y"
"SCFP00283","SIL. 4 X 5 X 8 X 1,10  PINT.",,"Silenciadores Camiones/Silenciadores Camiones Diesel","VEB","Y"
"SCFP0035","SIL.  4 X 9 X 1,10 PINT.",,"Silenciadores Camiones/Silenciadores Camiones Diesel","VEB","Y"
"SCFP0036","SIL. 4 X 8 X 1,15 PINT. ",,"Silenciadores Camiones/Silenciadores Camiones Diesel","VEB","Y"
"SCFP00411","SIL. 4 X 5 X 8 X 87 PINT.",,"Silenciadores Camiones/Silenciadores Camiones Diesel","VEB","Y"
"SCFP00441","SIL. 5 X 9 X 1,15 PINT.",,"Silenciadores Camiones/Silenciadores Camiones Diesel","VEB","Y"
"SCFP0205","SIL. 5 X 80 X 80 EN L PINT.",,"Silenciadores Camiones/Silenciadores Camiones Diesel","VEB","Y"
"SCFP0272","SIL.3 X 6 3/4 X 50 EN L PINT.",,"Silenciadores Camiones/Silenciadores Camiones Diesel","VEB","Y"
"SCFP0301","SIL .4 X 63/4 X 40 PINT. EN L",,"Silenciadores Camiones/Silenciadores Camiones Diesel","VEB","Y"
"SCFP0333","SIL. 4 X 8 X 60 EN L",,"Silenciadores Camiones/Silenciadores Camiones Diesel","VEB","Y"
"SCFP0029","SIL. 5 X 10 X 1,13 PINT.",,"Silenciadores Camiones/Silenciadores Camiones Diesel","VEB","Y"
"SCFP0334","SIL. 4 X 8 X 80 EN L",,"Silenciadores Camiones/Silenciadores Camiones Diesel","VEB","Y"
