"product_sku","product_name","product_s_desc","category_path","product_currency","product_publish"
"SI-E-0001","EXTENS NO. 9 S 6 1 2 0","(DE 6 1/2"" C/CONO)","Silenciadores y Extensiones Caterpillar/Extensiones","VEB","Y"
"SI-E-0001-G","EXTENS NO. 9 S 6 1 20 GAL","(DE 6 1/2"" C/CONO)","Silenciadores y Extensiones Caterpillar/Extensiones","VEB","Y"
"SI-E-0002","EXTENS NO. 9 S 1 7 6 8","(DE 4 1/2"" X 70)","Silenciadores y Extensiones Caterpillar/Extensiones","VEB","Y"
"SI-E-0002-G","EXTENS NO. 9 S 1 7 6 8GAL","(DE 4 1/2"" X 70)","Silenciadores y Extensiones Caterpillar/Extensiones","VEB","Y"
"SI-E-0003","EXTENS NO. 7 M 9 8 7 7","(DE 6,65"" X 1,34)","Silenciadores y Extensiones Caterpillar/Extensiones","VEB","Y"
"SI-E-0003-G","EXTENS NO. 7 M 9 8 7 7GAL","(DE 6,65"" X 1,34)","Silenciadores y Extensiones Caterpillar/Extensiones","VEB","Y"
"SI-E-0004","EXTENS NO. 5 D 7 7 7 1","(DE 7,80"" X 1,37)","Silenciadores y Extensiones Caterpillar/Extensiones","VEB","Y"
"SI-E-0004-G","EXTENS NO. 5 D 7 7 7 1GAL","(DE 7,80"" X 1,37)","Silenciadores y Extensiones Caterpillar/Extensiones","VEB","Y"
"SI-E-0005","EXTENS NO. 5 D 1 3 6 6","(DE 5,41"" X 0,83)","Silenciadores y Extensiones Caterpillar/Extensiones","VEB","Y"
"SI-E-0005-G","EXTENS NO. 5 D 1 3 6 6GAL","(DE 5,41"" X 0,83)","Silenciadores y Extensiones Caterpillar/Extensiones","VEB","Y"
"SI-E-0006","EXTENS NO. 9 S 1 2 6 7","(DE 5"" X 90 C/CONO","Silenciadores y Extensiones Caterpillar/Extensiones","VEB","Y"
"SI-E-0006-G","EXTENS NO. 9 S 1 2 6 7GAL","(DE 5"" X 90 C/CONO","Silenciadores y Extensiones Caterpillar/Extensiones","VEB","Y"
"SI-E-0007","EXTENS NO. 6 N 5 4 3 5","(DE 5"" X 70 CMTS)","Silenciadores y Extensiones Caterpillar/Extensiones","VEB","Y"
"SI-E-0007-G","EXTENS NO. 6 N 5 4 3 5GAL","(DE 5"" X 70 CMTS)","Silenciadores y Extensiones Caterpillar/Extensiones","VEB","Y"
"SI-E-0008","EXTENS NO. 9 S 6 2 9 2","(DE 4"" X 20 CMTS)","Silenciadores y Extensiones Caterpillar/Extensiones","VEB","Y"
"SI-E-0008-G","EXTENS NO. 9 S 6 2 9 2GAL","(DE 4"" X 20 CMTS)","Silenciadores y Extensiones Caterpillar/Extensiones","VEB","Y"
"SI-E-0009","EXTENS NO. 7 S 7 6 8 1","(DE 3"" X 1,12 MTS)","Silenciadores y Extensiones Caterpillar/Extensiones","VEB","Y"
"SI-E-0009-G","EXTENS NO. 7 S 7 6 8 1GAL","(DE 3"" X 1,12 MTS)","Silenciadores y Extensiones Caterpillar/Extensiones","VEB","Y"
"SI-E-0010","EXTENS NO. 5 D 0 1 9 7","(DE 6,62"" X 96,50)","Silenciadores y Extensiones Caterpillar/Extensiones","VEB","Y"
