"product_sku","product_name","product_s_desc","category_path","product_currency","product_publish"
"IV-FN-1201","TUBO BAJANTE DE ESCAPE",8097,"Sistemas de Escapes/IVECO Original","VEB","Y"
"IV-FN-1202","SILENCIADOR VERTICAL",8098,"Sistemas de Escapes/IVECO Original","VEB","Y"
"IV-FN-1203","TUBO CODO 90",8099,"Sistemas de Escapes/IVECO Original","VEB","Y"
"IV-FN-1204","FLEXIBLE DE ESCAPE",8100,"Sistemas de Escapes/IVECO Original","VEB","Y"
"IV-FN-1205","TUBO INTERMEDIO",8101,"Sistemas de Escapes/IVECO Original","VEB","Y"
"IV-FN-1206","PROTECTOR TUBO DE SALIDA",8106,"Sistemas de Escapes/IVECO Original","VEB","Y"
"IV-FN-1207","ABRAZADERA CON BASE",8107,"Sistemas de Escapes/IVECO Original","VEB","Y"
"IV-FN-1208","ABRAZADERA SIN BASE",8108,"Sistemas de Escapes/IVECO Original","VEB","Y"
"IV-FN-1209","TUBO SALIDA MOD. 120",8114,"Sistemas de Escapes/IVECO Original","VEB","Y"
"IV-FN-1501","TUBO SALIDA MOD. 150",7985,"Sistemas de Escapes/IVECO Original","VEB","Y"
"IV-FN-591201","SILENCIADOR DEILY",,"Sistemas de Escapes/IVECO Original","VEB","Y"
"IV-FN-591202","TUBO INTERMEDIO DEILY",,"Sistemas de Escapes/IVECO Original","VEB","Y"
"IV-FN-591203","TUBO FINAL DE ESCAPE DEILY",,"Sistemas de Escapes/IVECO Original","VEB","Y"
