"product_sku","product_name","product_s_desc","category_path","product_currency","product_publish"
"CXUFN001","Abrazadera Turbo Bajante","11ME54M","Sistemas de Escapes/Mack Original Model Vision Elite CXU 613","VEB","Y"
"CXUFN002","Bajante 5¨ Vision","4ME5392M","Sistemas de Escapes/Mack Original Model Vision Elite CXU 613","VEB","Y"
"CXUFN003","Abrazadera Para Flexible","11ME229P3","Sistemas de Escapes/Mack Original Model Vision Elite CXU 613","VEB","Y"
"CXUFN004","Flexible de 5” Pintado","4ME22040M","Sistemas de Escapes/Mack Original Model Vision Elite CXU 613","VEB","Y"
"CXUFN005","Doble Codo Pintado Vision","4ME5383M","Sistemas de Escapes/Mack Original Model Vision Elite CXU 613","VEB","Y"
"CXUFN006","Doble Codo en L Cromado","4ME5384M","Sistemas de Escapes/Mack Original Model Vision Elite CXU 613","VEB","Y"
"CXUFN008","Silenciador Pintado","2ME3135M","Sistemas de Escapes/Mack Original Model Vision Elite CXU 613","VEB","Y"
"CXUFN009","Malla Prot. Cromado del Silen.","13ME541M3","Sistemas de Escapes/Mack Original Model Vision Elite CXU 613","VEB","Y"
"CXUFN009A","Malla Prot. ALUMINIO del Silen.","13ME541M3","Sistemas de Escapes/Mack Original Model Vision Elite CXU 613","VEB","Y"
"CXUFN010","Abraz. S/Soporte Malla del Silen.","8ME4218M","Sistemas de Escapes/Mack Original Model Vision Elite CXU 613","VEB","Y"
"CXUFN011","Abraz. C/Soporte Malla del Silen.","8ME4151M3","Sistemas de Escapes/Mack Original Model Vision Elite CXU 613","VEB","Y"
"CXUFN012","Tubo Cola de escape Cromado","4ME33063M3","Sistemas de Escapes/Mack Original Model Vision Elite CXU 613","VEB","Y"
"CXUFN013","Abrazadera de Escape","11ME348M","Sistemas de Escapes/Mack Original Model Vision Elite CXU 613","VEB","Y"
"CXUFN014","Abrazadera del Protector","11ME389M","Sistemas de Escapes/Mack Original Model Vision Elite CXU 613","VEB","Y"
"CXUFN015","Protector Tubería de Escape","13ME573M5","Sistemas de Escapes/Mack Original Model Vision Elite CXU 613","VEB","Y"
