"product_sku","product_name","product_s_desc","category_path","product_currency","product_publish"
"CH-FN-100","FLEXIBLE 5""","4ME2991P17","Sistemas de Escapes/Mack Original Modelo CH 5""","VEB","Y"
"CH-FN-101","SILENCIADOR PINTADO CH 5"" GALVANIZADO","2ME3104VP2","Sistemas de Escapes/Mack Original Modelo CH 5""","VEB","Y"
"CH-FN-102","ABRAZADERA SILENC. PINT",,"Sistemas de Escapes/Mack Original Modelo CH 5""","VEB","Y"
"CH-FN-102C","ABRAZADERA SILENC. CROMADA","8ME4153M","Sistemas de Escapes/Mack Original Modelo CH 5""","VEB","Y"
"CH-FN-103","ABRAZADERA PROTECTOR PINT.",,"Sistemas de Escapes/Mack Original Modelo CH 5""","VEB","Y"
"CH-FN-103C","ABRAZADERA PROTECTOR CROMADA","8ME4154M","Sistemas de Escapes/Mack Original Modelo CH 5""","VEB","Y"
"CH-FN-104","ABRAZADERA DEL SIL./PROT. PINT.",,"Sistemas de Escapes/Mack Original Modelo CH 5""","VEB","Y"
"CH-FN-104C","ABRAZADERA DEL SIL./PROT. CROM.","8ME4153M","Sistemas de Escapes/Mack Original Modelo CH 5""","VEB","Y"
"CH-FN-105","PROTECTOR PINT.",,"Sistemas de Escapes/Mack Original Modelo CH 5""","VEB","Y"
"CH-FN-105C","PROTECTOR CROMADO","13ME511M","Sistemas de Escapes/Mack Original Modelo CH 5""","VEB","Y"
"CH-FN-106","ABRAZADERA TIPO FAJA 5"" PINT.",,"Sistemas de Escapes/Mack Original Modelo CH 5""","VEB","Y"
"CH-FN-106C","ABRAZADERA TIPO FAJA 5"" CROMADA","11ME330M","Sistemas de Escapes/Mack Original Modelo CH 5""","VEB","Y"
"CH-FN-107","TUBO COLA PINT. 90 CTS.",,"Sistemas de Escapes/Mack Original Modelo CH 5""","VEB","Y"
"CH-FN-107C","TUBO COLA CROMADO 90 CTS.","4ME33019M","Sistemas de Escapes/Mack Original Modelo CH 5""","VEB","Y"
"CH-FN-108","TAPA TUBO COLA PINT.",,"Sistemas de Escapes/Mack Original Modelo CH 5""","VEB","Y"
"CH-FN-108C","TAPA TUBO COLA CROMADA","10CK0705","Sistemas de Escapes/Mack Original Modelo CH 5""","VEB","Y"
"CH-FN-111","DOBLE CODO CORTO CH",,"Sistemas de Escapes/Mack Original Modelo CH 5""","VEB","Y"
"CH-FN-112","BAJANTE INTERMEDIO CH",,"Sistemas de Escapes/Mack Original Modelo CH 5""","VEB","Y"
"CXUFN012","Tubo Cola de escape Cromado","4ME33063M3","Sistemas de Escapes/Mack Original Modelo CH 5""","VEB","Y"
"CXUFN013","Abrazadera de Escape","11ME348M","Sistemas de Escapes/Mack Original Modelo CH 5""","VEB","Y"
"MPSC12020C","MALLA PRT. SIL. 10"" X 1,20 CROM.",,"Sistemas de Escapes/Mack Original Modelo CH 5""","VEB","Y"
"MPSC12020A","MALLA PRT. SIL. 10"" X 1,20 ALUMNIO.",,"Sistemas de Escapes/Mack Original Modelo CH 5""","VEB","Y"
"CXUFN003","Abrazadera Para Flexible","11ME229P3","Sistemas de Escapes/Mack Original Modelo CH 5""","VEB","Y"
