"product_sku","product_name","product_s_desc","category_path","product_currency","product_publish"
"CTFN100","Abrazadera Para Flexible","11ME229P3","Sistemas de Escapes/Mack Original Modelo Granite Elite CT 613","VEB","Y"
"CTFN101","Flexible de 5” Pintado","4ME22040M","Sistemas de Escapes/Mack Original Modelo Granite Elite CT 613","VEB","Y"
"CTFN103","Doble Codo 5” en S Pintado","4ME41178AM","Sistemas de Escapes/Mack Original Modelo Granite Elite CT 613","VEB","Y"
"CTFN104C","Doble Codo en L Cromado","4ME41179M","Sistemas de Escapes/Mack Original Modelo Granite Elite CT 613","VEB","Y"
"CTFN106I","Abraz. Para Malla de Silen. Inox.","8ME4222M2","Sistemas de Escapes/Mack Original Modelo Granite Elite CT 613","VEB","Y"
"CTFN107","Silenciador Pintado","2ME3140M","Sistemas de Escapes/Mack Original Modelo Granite Elite CT 613","VEB","Y"
"CTFN109A","Malla Prot. del Silen. Aluminio","13ME546M2","Sistemas de Escapes/Mack Original Modelo Granite Elite CT 613","VEB","Y"
"CTFN109C","Malla Prot. del Silen. Cromado","13ME546M2","Sistemas de Escapes/Mack Original Modelo Granite Elite CT 613","VEB","Y"
"CTFN110","Tubo Cola de escape Cromado","4ME33063M3","Sistemas de Escapes/Mack Original Modelo Granite Elite CT 613","VEB","Y"
"CTFN111","Abrazadera de Escape","11ME348M","Sistemas de Escapes/Mack Original Modelo Granite Elite CT 613","VEB","Y"
"CTFN112","Bajante 5¨GU813","4ME5392M","Sistemas de Escapes/Mack Original Modelo Granite Elite CT 613","VEB","Y"
"CTFN113I","Abraz. Soporte Silen. Lisa","8ME4229M3","Sistemas de Escapes/Mack Original Modelo Granite Elite CT 613","VEB","Y"
"CTFN114I","Abraz. Soporte Silen. P/Malla","8ME4228M3","Sistemas de Escapes/Mack Original Modelo Granite Elite CT 613","VEB","Y"
