"product_sku","product_name","product_s_desc","category_path","product_currency","product_publish"
"GRFN-100","TUBERIA PRIMARIA BAJANTE GRT.","4ME41112","Sistemas de Escapes/Mack Original Modelo Granite","VEB","Y"
"GRFN-101","ABRAZ. BASE TUBERIA PRIMARIA GRT.","11ME342M","Sistemas de Escapes/Mack Original Modelo Granite","VEB","Y"
"GRFN-102","ABRAZ. PARA FLEXIBLE GRT. (INOX)","11ME229P2","Sistemas de Escapes/Mack Original Modelo Granite","VEB","Y"
"GRFN-103","TUBERIA FLEXIBLE GRT.","4ME22037","Sistemas de Escapes/Mack Original Modelo Granite","VEB","Y"
"GRFN-104","ABRAZ. BASE TRIPLE CODO GRT.","48RU3104P3","Sistemas de Escapes/Mack Original Modelo Granite","VEB","Y"
"GRFN-105","TRIPLE CODO GRT.","4ME5110A","Sistemas de Escapes/Mack Original Modelo Granite","VEB","Y"
"GRFN-107","ABRAZ. DEL PROTECTOR PINTADA GRT.","11ME344M","Sistemas de Escapes/Mack Original Modelo Granite","VEB","Y"
"GRFN-108","ABRAZ. BASE DEL SILENCIADOR GRT.","11ME355M","Sistemas de Escapes/Mack Original Modelo Granite","VEB","Y"
"GRFN-109","SILENCIADOR GRANITE (DUPONT)","2ME3102","Sistemas de Escapes/Mack Original Modelo Granite","VEB","Y"
"GRFN-110","ABRAZ. BASE SUPERIOR PINTADA GRT.","83AX840","Sistemas de Escapes/Mack Original Modelo Granite","VEB","Y"
"GRFN-111","PROTECTOR ALUMINIO PARA SILENC.","13ME535","Sistemas de Escapes/Mack Original Modelo Granite","VEB","Y"
"GRFN-112","COLA 5¨ CROMADA GRANITE","4ME32972P3","Sistemas de Escapes/Mack Original Modelo Granite","VEB","Y"
"GRFN-113","ABRAZ. SUPERIOR DEL SILENC. FAJA","11ME348M","Sistemas de Escapes/Mack Original Modelo Granite","VEB","Y"
"MPSC11510C","MALLA PRT. SIL. 10"" X 1,15 CROM.",,"Sistemas de Escapes/Mack Original Modelo Granite","VEB","Y"
"MPSC11510A","MALLA PRT. SIL. 10"" X 1,15 ALUMNIO.",,"Sistemas de Escapes/Mack Original Modelo Granite","VEB","Y"
