"product_sku","product_name","product_s_desc","category_path","product_currency","product_publish"
"MD-FN-100","ABRAZADERA TUBO DE ESCAPE","5003083065P1","Sistemas de Escapes/Mack Original Modelo MID LINER 3 1/2""","VEB","Y"
"MD-FN-101","ABRAZADERA TIPO ""U""","5005034007P1","Sistemas de Escapes/Mack Original Modelo MID LINER 3 1/2""","VEB","Y"
"MD-FN-102","ABRAZADERA DEL SILENCIADOR","5010037316P1","Sistemas de Escapes/Mack Original Modelo MID LINER 3 1/2""","VEB","Y"
"MD-FN-103","ABRAZADERA TUBO SECUNDARIO","5010267637P1","Sistemas de Escapes/Mack Original Modelo MID LINER 3 1/2""","VEB","Y"
"MD-FN-104","ABRAZADERA TUBO ADMISION","5000541253V","Sistemas de Escapes/Mack Original Modelo MID LINER 3 1/2""","VEB","Y"
"MD-FN-105","MEDIA ABRAZADERA PINTADA","5010267672P1-P","Sistemas de Escapes/Mack Original Modelo MID LINER 3 1/2""","VEB","Y"
"MD-FN-105C","MEDIA ABRAZADERA CROMADA","5010267672P1","Sistemas de Escapes/Mack Original Modelo MID LINER 3 1/2""","VEB","Y"
"MD-FN-106","TUBO PRIMARIO","5010267284V2","Sistemas de Escapes/Mack Original Modelo MID LINER 3 1/2""","VEB","Y"
"MD-FN-107","SILENCIADOR GALVANIZADO","5010140488V","Sistemas de Escapes/Mack Original Modelo MID LINER 3 1/2""","VEB","Y"
"MD-FN-108","TUBO SECUNDARIO","5010267986V2","Sistemas de Escapes/Mack Original Modelo MID LINER 3 1/2""","VEB","Y"
"MD-FN-109","TUBO COLA 3 1/2 x 60 Cts. PINTADO","5010267263P1-P","Sistemas de Escapes/Mack Original Modelo MID LINER 3 1/2""","VEB","Y"
"MD-FN-109C","TUBO COLA 3 1/2 x 60 Cts.CROMADO","5010267263P1","Sistemas de Escapes/Mack Original Modelo MID LINER 3 1/2""","VEB","Y"
"MD-FN-110","TUBO COLA 3 1/2 x 1,80 Mts. PINTADO","5010267633P1-P","Sistemas de Escapes/Mack Original Modelo MID LINER 3 1/2""","VEB","Y"
"MD-FN-110C","TUBO COLA 3 1/2 x 1,80 Mts. CROMADO","5010267633P1","Sistemas de Escapes/Mack Original Modelo MID LINER 3 1/2""","VEB","Y"
"MD-FN-111","TIRANTE DEL SILENCIADOR PINTADO","5010267301P1-P","Sistemas de Escapes/Mack Original Modelo MID LINER 3 1/2""","VEB","Y"
"MD-FN-111C","TIRANTE DEL SILENCIADOR CROMADO","5010267301P1","Sistemas de Escapes/Mack Original Modelo MID LINER 3 1/2""","VEB","Y"
"MD-FN-112","TUBO DE ADMISION","5010167488V","Sistemas de Escapes/Mack Original Modelo MID LINER 3 1/2""","VEB","Y"
