"product_sku","product_name","product_s_desc","category_path","product_currency","product_publish"
"RD-FN-010","PRIMER INTERMEDIO","4ME32603V","Sistemas de Escapes/Mack Original Modelo RD 4""","VEB","Y"
"RD-FN-013","FLEXIBLE 4""","4ME2786P3V","Sistemas de Escapes/Mack Original Modelo RD 4""","VEB","Y"
"RD-FN-014","DOBLE CODO RD 4"" PINT.","4ME4911P1V","Sistemas de Escapes/Mack Original Modelo RD 4""","VEB","Y"
"RD-FN-014C","DOBLE CODO RD 4"" CROMADO","4ME4911P1V","Sistemas de Escapes/Mack Original Modelo RD 4""","VEB","Y"
"RD-FN-015","SILENCIADOR RD PINT. (DUPONT)","2ME3102V","Sistemas de Escapes/Mack Original Modelo RD 4""","VEB","Y"
"RD-FN-015C","SILENCIADOR RD CROMADO","2ME3102P1V","Sistemas de Escapes/Mack Original Modelo RD 4""","VEB","Y"
"RD-FN-016","ABRAZ. SILENCIADOR PINT.","11ME320P3V","Sistemas de Escapes/Mack Original Modelo RD 4""","VEB","Y"
"RD-FN-016C","ABRAZ. SILENCIADOR CROMADO","11ME3203PIV","Sistemas de Escapes/Mack Original Modelo RD 4""","VEB","Y"
"RD-FN-017","ABRAZ. PROTECTOR PINT.","11ME323V","Sistemas de Escapes/Mack Original Modelo RD 4""","VEB","Y"
"RD-FN-017C","ABRAZ. PROTECTOR CROMADA","11ME323P1V","Sistemas de Escapes/Mack Original Modelo RD 4""","VEB","Y"
"RD-FN-021","PROTECTOR SILENC. PINT.","13ME443P7V1-P","Sistemas de Escapes/Mack Original Modelo RD 4""","VEB","Y"
"RD-FN-021C","PROTECTOR SILENC. CROMADO","13ME443P7V1","Sistemas de Escapes/Mack Original Modelo RD 4""","VEB","Y"
"RD-FN-022","ABRAZADERA TUBO 4"" PINT. CORTA","83AX462P1V","Sistemas de Escapes/Mack Original Modelo RD 4""","VEB","Y"
"RD-FN-022C","ABRAZADERA TUBO 4"" CROM. CORTA","83AX462P4V","Sistemas de Escapes/Mack Original Modelo RD 4""","VEB","Y"
"RD-FN-023","ABRAZADERA TUBO 4"" PINT. LARGA","83AX462P2V","Sistemas de Escapes/Mack Original Modelo RD 4""","VEB","Y"
"RD-FN-023C","ABRAZADERA TUBO 4"" CROM. LARGA","83AX462P3V","Sistemas de Escapes/Mack Original Modelo RD 4""","VEB","Y"
"RD-FN-026","COLA ESCAPE RD PINT.","2ME32972P3V","Sistemas de Escapes/Mack Original Modelo RD 4""","VEB","Y"
"RD-FN-026C","COLA ESCAPE RD CROMADA","2ME32972P3V1","Sistemas de Escapes/Mack Original Modelo RD 4""","VEB","Y"
