"product_sku","product_name","product_s_desc","category_path","product_currency","product_publish"
"VIFN-001","BAJANTE VISION","4ME41167M2","Sistemas de Escapes/Mack Original Modelo Vision","VEB","Y"
"VIFN-002","TUBERIA FLEXIBLE VISION","4ME22040M","Sistemas de Escapes/Mack Original Modelo Vision","VEB","Y"
"VIFN-003","DOBLE CODO 5¨ VISION PINTADO","4ME41114M","Sistemas de Escapes/Mack Original Modelo Vision","VEB","Y"
"VIFN-004C","DOBLE CODO CROMADO 5¨ VISION","4ME41125M2","Sistemas de Escapes/Mack Original Modelo Vision","VEB","Y"
"VIFN-005","SILENCIADOR VISION (DUPONT)","2ME3135M","Sistemas de Escapes/Mack Original Modelo Vision","VEB","Y"
"VIFN-006C","COLA 5¨ CROMADA VISION","4ME33143M2","Sistemas de Escapes/Mack Original Modelo Vision","VEB","Y"
"VIFN-007","ABRAZ. 5¨PARA FLEXIBLE VISION (INOX) ","11ME229P3","Sistemas de Escapes/Mack Original Modelo Vision","VEB","Y"
"VIFN-008","ABRAZ. REFORZADA 5¨ ","48RU3104P4","Sistemas de Escapes/Mack Original Modelo Vision","VEB","Y"
"VIFN-009","ABRAZ. 5¨SUPERIOR SILENCIADOR.","11ME348M","Sistemas de Escapes/Mack Original Modelo Vision","VEB","Y"
"VIFN-010","ABRAZ. FAJA 5¨","11ME330M1","Sistemas de Escapes/Mack Original Modelo Vision","VEB","Y"
"VIFN-011","ABRAZ. 5¨DOBLE CODO ","11ME330M","Sistemas de Escapes/Mack Original Modelo Vision","VEB","Y"
"VIFN-012","PROTECTOR ALUMINIO PARA SILENC.","13ME542M4V1","Sistemas de Escapes/Mack Original Modelo Vision","VEB","Y"
"MPSC12020C","MALLA PRT. SIL. 10"" X 1,20 CROM.",,"Sistemas de Escapes/Mack Original Modelo Vision","VEB","Y"
"MPSC12020A","MALLA PRT. SIL. 10"" X 1,20 ALUMNIO.",,"Sistemas de Escapes/Mack Original Modelo Vision","VEB","Y"
