"product_sku","product_name","product_s_desc","category_path","product_currency","product_publish"
"AB-FN-175","ABRAZADERA DE 1 3/4""(1.9)","(CALIBRE 1.9)","Abrazaderas","VEB","Y"
"AB-FN-175-C","ABRAZADERA DE 1 3/4""(1.9)","(CALIBRE 1.9 CROM)","Abrazaderas","VEB","Y"
"AB-FN-176","ABRAZADERA DE 1 3/4""(1.5)","(CALIBRE 1.5)","Abrazaderas","VEB","Y"
"AB-FN-176-1","ABRAZADERA DE 1 3/4""(2.5)","(CALIBRE 2.5)","Abrazaderas","VEB","Y"
"AB-FN-176-C","ABRAZADERA DE 1 3/4""(1.5)","(CALIBRE 1.5 CROM)","Abrazaderas","VEB","Y"
"AB-FN-200","ABRAZADERA DE 2"" (1.9)","(CALIBRE 1.9)","Abrazaderas","VEB","Y"
"AB-FN-200-C","ABRAZADERA DE 2"" (1.9)","(CALIBRE 1.9 CROM)","Abrazaderas","VEB","Y"
"AB-FN-201","ABRAZADERA DE 2"" (1.5)","(CALIBRE 1.5)","Abrazaderas","VEB","Y"
"AB-FN-201-C","ABRAZADERA DE 2"" (1.5)","(CALIBRE 1.5 CROM)","Abrazaderas","VEB","Y"
"AB-FN-240","ABRAZADERA DE 2 1/4""(1.9)","(CALIBRE 1.9)","Abrazaderas","VEB","Y"
"AB-FN-240-1","ABRAZADERA DE 2 1/4""(1.5)","(CALIBRE 1.5)","Abrazaderas","VEB","Y"
"AB-FN-240-C","ABRAZADERA DE 2 1/4""(1.9)","(CALIBRE 1.9 CROM)","Abrazaderas","VEB","Y"
"AB-FN-250","ABRAZADERA DE 2 1/2""(1.9)","(CALIBRE 1.9)","Abrazaderas","VEB","Y"
"AB-FN-300","ABRAZADERA DE 3""","(CALIBRE 2.5)","Abrazaderas","VEB","Y"
"AB-FN-300-C","ABRAZADERA DE 3"" CROMADA","(CALIBRE 2.5 CROM)","Abrazaderas","VEB","Y"
"AB-FN-350","ABRAZADERA DE 3 1/2""","(CALIBRE 2.5)","Abrazaderas","VEB","Y"
"AB-FN-350-C","ABRAZADERA DE 3 1/2""CROM.","(CALIBRE 2.5 CROM)","Abrazaderas","VEB","Y"
"AB-FN-400","ABRAZADERA DE 4"" NORMAL","(CALIBRE 2.5)","Abrazaderas","VEB","Y"
"AB-FN-400-C","ABRAZ.4"" NORMAL CROMADA","(CALIBRE 2.5 CROM)","Abrazaderas","VEB","Y"
"AB-FN-401","ABRAZADERA DE 4"" (REFORZ)","(CALIBRE 2.5)","Abrazaderas","VEB","Y"
"AB-FN-401-C","ABRAZ. 4"" REFORZ.CROMADA","(CALIBRE 2.5 CROM)","Abrazaderas","VEB","Y"
"AB-FN-501","ABRAZADERA DE 5"" (REFORZ)","(CALIBRE 2.5)","Abrazaderas","VEB","Y"
"AB-FN-501-C","ABRAZ. 5"" REFORZ.CROMADA","(CALIBRE 2.5 CROM)","Abrazaderas","VEB","Y"
