"product_sku","product_name","product_s_desc","category_path","product_currency","product_publish"
"AV-TA-001","TRAMPA DE AGUA DE 1 1/2""",,"Accesorios/Trampas de Agua",,"Y"
"AV-TA-002","TRAMPA DE AGUA DE 2""",,"Accesorios/Trampas de Agua",,"Y"
"AV-TA-002-0","TRAMPA DE AGUA DE 2 1/4""",,"Accesorios/Trampas de Agua",,"Y"
"AV-TA-002-1","TRAMPA DE AGUA DE 2 1/2""",,"Accesorios/Trampas de Agua",,"Y"
"AV-TA-002-1C","TRAMPA DE AGUA DE 21/2CRM",,"Accesorios/Trampas de Agua",,"Y"
"AV-TA-002-C","TRAMPA DE AGUA DE 2""CROM",,"Accesorios/Trampas de Agua",,"Y"
"AV-TA-003","TRAMPA DE AGUA DE 3""",,"Accesorios/Trampas de Agua",,"Y"
"AV-TA-003-1","TRAMPA DE AGUA DE 3 1/2""",,"Accesorios/Trampas de Agua",,"Y"
"AV-TA-003-1C","TRAMPA DE AGUA DE 31/2CRM",,"Accesorios/Trampas de Agua",,"Y"
"AV-TA-003-C","TRAMPA DE AGUA DE 3""CROM",,"Accesorios/Trampas de Agua",,"Y"
"AV-TA-004","TRAMPA DE AGUA DE 4""",,"Accesorios/Trampas de Agua",,"Y"
"AV-TA-004-1","TRAMPA DE AGUA DE 4 1/2""",,"Accesorios/Trampas de Agua",,"Y"
"AV-TA-004-1C","TRAMPA DE AGUA DE 4 1/2""C",,"Accesorios/Trampas de Agua",,"Y"
"AV-TA-004-C","TRAMPA DE AGUA DE 4""CROM",,"Accesorios/Trampas de Agua",,"Y"
"AV-TA-005","TRAMPA DE AGUA DE 5""",,"Accesorios/Trampas de Agua",,"Y"
"AV-TA-005-C","TRAMPA DE AGUA DE 5""CROM",,"Accesorios/Trampas de Agua",,"Y"
