"product_sku","product_name","product_s_desc","category_path","product_currency","product_publish"
"CC-FN-1300","COLA DE 3"" x 50 CMS. (19)",,"Colas Camiones/Colas Fabricación Propia","VEB","Y"
"CC-FN-1300-C","COLA CROMADA DE 3"" x 50",,"Colas Camiones/Colas Fabricación Propia","VEB","Y"
"CC-FN-1301","COLA DE 3"" x 90 CMS. (35)",,"Colas Camiones/Colas Fabricación Propia","VEB","Y"
"CC-FN-1301-C","COLA CROMADA DE 3"" x 90",,"Colas Camiones/Colas Fabricación Propia","VEB","Y"
"CC-FN-1302","COLA DE 3"" x 1.70 M. (67)",,"Colas Camiones/Colas Fabricación Propia","VEB","Y"
"CC-FN-1302-C","COLA CROMADA DE 3"" x 1.70",,"Colas Camiones/Colas Fabricación Propia","VEB","Y"
"CC-FN-1303","COLA DE 3"" x 2 M.",,"Colas Camiones/Colas Fabricación Propia","VEB","Y"
"CC-FN-1303-C","COLA CROMADA DE 3"" x 2 M.",,"Colas Camiones/Colas Fabricación Propia","VEB","Y"
"CC-FN-1350","COLA DE 3 1/2"" x 50 CMS.",,"Colas Camiones/Colas Fabricación Propia","VEB","Y"
"CC-FN-1350-C","COLA CROM. DE 3 1/2""x 50",,"Colas Camiones/Colas Fabricación Propia","VEB","Y"
"CC-FN-1351","COLA DE 3 1/2"" x 90 CMS.",,"Colas Camiones/Colas Fabricación Propia","VEB","Y"
"CC-FN-1351-C","COLA CROM. DE 3 1/2""x 90",,"Colas Camiones/Colas Fabricación Propia","VEB","Y"
"CC-FN-1352","COLA DE 3 1/2"" x 1.70 M.",,"Colas Camiones/Colas Fabricación Propia","VEB","Y"
"CC-FN-1352-C","COLA CROM. 3 1/2"" x 1.70",,"Colas Camiones/Colas Fabricación Propia","VEB","Y"
"CC-FN-1353","COLA DE 3 1/2"" x 2 M.",,"Colas Camiones/Colas Fabricación Propia","VEB","Y"
"CC-FN-1353-C","COLA CROM. 3 1/2"" x 2 M.",,"Colas Camiones/Colas Fabricación Propia","VEB","Y"
"CC-FN-1400","COLA DE 4"" x 50 CM. (19"")",,"Colas Camiones/Colas Fabricación Propia","VEB","Y"
