"product_sku","product_name","product_s_desc","category_path","product_currency","product_publish"
"CL-FN-771","COLA CROM RED 3"" C/R 21/4",,"Colas Cromadas de Lujo","VEB","Y"
"CL-FN-780","COLA CROM CURVA 2 1/4","(LARGO:21 cmts)","Colas Cromadas de Lujo","VEB","Y"
"CL-FN-781","COLA CROM CURVA 2 1/4","(LARGO:29 cmts)","Colas Cromadas de Lujo","VEB","Y"
"CL-FN-783","COLA CROM CURVA DE 3""","(LARGO:30 cmts)","Colas Cromadas de Lujo","VEB","Y"
"CL-FN-910","COLA CROM MITSUBISHI DOBL","(DOBLE)","Colas Cromadas de Lujo","VEB","Y"
"CL-FN-930","COLA CROM RED 31/2""*50CTS","(CON BOCA 21/4"")","Colas Cromadas de Lujo","VEB","Y"
"CL-FN-931","COLA CROM RED 31/2""*50CTS","(CON BOCA 21/2"")","Colas Cromadas de Lujo","VEB","Y"
"CL-FN-932","COLA CROM RED 31/2""*25CTS","(CON BOCA 21/4"")","Colas Cromadas de Lujo","VEB","Y"
"CL-FN-933","COLA CROM CHAFLAN 31/2*25","(CON BOCA 21/4"")","Colas Cromadas de Lujo","VEB","Y"
"CL-FN-934","COLA CROM CHAFLAN 31/2*50","(CON BOCA 21/4"")","Colas Cromadas de Lujo","VEB","Y"
"CL-FN-938","COLA BORD 31/2*35","(CON BOCA 21/4"")","Colas Cromadas de Lujo","VEB","Y"
"CL-FN-938-1","COLA BORD 31/2*18","(CON BOCA 21/4"")","Colas Cromadas de Lujo","VEB","Y"
"CL-FN-938-3","COLA BORD 31/2*18 C/RES.","(CON BOCA 21/4"")","Colas Cromadas de Lujo","VEB","Y"
"CL-FN-938-5","COLA CHATA C/ARRIBA","(CON BOCA 2"")","Colas Cromadas de Lujo","VEB","Y"
"CL-FN-938-6","COLA BORD OVALADA 3 1/2*18","(CON BOCA 21/4"")","Colas Cromadas de Lujo","VEB","Y"
"CL-FN-938-7","COLA BORDE GRUESO 4""","(CON BOCA 21/4"")","Colas Cromadas de Lujo","VEB","Y"
"CL-FN-938-8","COLA BORDE GRUESO 3 1/2""","(CON BOCA 21/4"")","Colas Cromadas de Lujo","VEB","Y"
"CL-FN-938-9","COLA BORDEADA DOBLE 4""","(CON BOCA 21/4"")","Colas Cromadas de Lujo","VEB","Y"
"CL-FN-940","COLA CROM RED 3""DOBLE*15","(CON BOCA 21/4"")","Colas Cromadas de Lujo","VEB","Y"
"CL-FN-940-1","COLA CROM RED 3"" DOBLE*25",,"Colas Cromadas de Lujo","VEB","Y"
"CL-FN-940-2","COLA CROM CHAFLAN 3"" *15","DOBLE","Colas Cromadas de Lujo","VEB","Y"
"CL-FN-940-3","COLA CROM CHAFLAN 3""*25","DOBLE","Colas Cromadas de Lujo","VEB","Y"
"CL-FN-940-4","COLA CROM CHAFLAN 3""*25",,"Colas Cromadas de Lujo","VEB","Y"
"CL-FN-941","COLA C/ARRIBA 3*2 1/2","(CON BOCA 2"")","Colas Cromadas de Lujo","VEB","Y"
"CL-FN-941-1","COLA C/ARRIBA 3*2 1/4","(CON BOCA 2"")","Colas Cromadas de Lujo","VEB","Y"
"CL-FN-942","COLA CODO CROM 4""","(CON BOCA 2 1/2"")","Colas Cromadas de Lujo","VEB","Y"
"CL-FN-943","COLA BORD DOBLE 2 1/2*11",,"Colas Cromadas de Lujo","VEB","Y"
"CL-FN-943-1","COLA BORD DOBLE 2 1/2*15",,"Colas Cromadas de Lujo","VEB","Y"
"CL-FN-943-2","COLA BORD DOBLE 2 1/2*18",,"Colas Cromadas de Lujo","VEB","Y"
"CL-FN-944","COLA BORD  3*18",,"Colas Cromadas de Lujo","VEB","Y"
"CL-FN-945","COLA CROM CUADRADA 4 1/2",,"Colas Cromadas de Lujo","VEB","Y"
"CL-FN-946","COLA CROM OVALADA 4 1/2",,"Colas Cromadas de Lujo","VEB","Y"
"CL-FN-947","COLA CROM CUADRADA 4""",,"Colas Cromadas de Lujo","VEB","Y"
"CL-FN-948","COLA BORD DOBLE 3 1/2*35",,"Colas Cromadas de Lujo","VEB","Y"
"CL-FN-9481","COLA BORD C/RES 3 1/2*35",,"Colas Cromadas de Lujo","VEB","Y"
