"product_sku","product_name","product_s_desc","category_path","product_currency","product_publish"
"EX-FN-2300","EXT. RECTA DE 3"" x 50CMS",,"Extensiones Rectas","VEB","Y"
"EX-FN-2300-C","EXT. RECTA DE 3"" x 50CROM",,"Extensiones Rectas","VEB","Y"
"EX-FN-2301","EXT. RECTA DE 3"" x 90CMS",,"Extensiones Rectas","VEB","Y"
"EX-FN-2301-C","EXT. RECTA DE 3"" x 90CROM",,"Extensiones Rectas","VEB","Y"
"EX-FN-2302","EXT. RECTA DE 3"" x 2 MTS",,"Extensiones Rectas","VEB","Y"
"EX-FN-2302-C","EXT. RECTA DE 3"" x 2 CROM",,"Extensiones Rectas","VEB","Y"
"EX-FN-2350","EXT. RECTA DE 31/2""x50CMS",,"Extensiones Rectas","VEB","Y"
"EX-FN-2350-C","EXT. RECTA DE 31/2""x50CRO",,"Extensiones Rectas","VEB","Y"
"EX-FN-2351","EXT. RECTA DE 31/2""x90CMS",,"Extensiones Rectas","VEB","Y"
"EX-FN-2351-C","EXT. RECTA DE 31/2""x90CRO",,"Extensiones Rectas","VEB","Y"
"EX-FN-2352","EXT. RECTA DE 31/2""x 2MTS",,"Extensiones Rectas","VEB","Y"
"EX-FN-2352-C","EXT. RECTA DE 31/2""x2CROM",,"Extensiones Rectas","VEB","Y"
"EX-FN-2400","EXT. RECTA DE 4"" x 50 CMS",,"Extensiones Rectas","VEB","Y"
"EX-FN-2400-C","EXT. RECTA DE 4"" x 50CROM",,"Extensiones Rectas","VEB","Y"
"EX-FN-2401","EXT. RECTA DE 4"" x 90 CMS",,"Extensiones Rectas","VEB","Y"
"EX-FN-2401-C","EXT. RECTA DE 4"" x 90CROM",,"Extensiones Rectas","VEB","Y"
"EX-FN-2402","EXT. RECTA DE 4"" x 2 MTS",,"Extensiones Rectas","VEB","Y"
"EX-FN-2402-C","EXT. RECTA DE 4"" x 2 CROM",,"Extensiones Rectas","VEB","Y"
"EX-FN-2450","EXT. RECTA DE 41/2""x50CMS",,"Extensiones Rectas","VEB","Y"
"EX-FN-2450-C","EXT. RECTA DE 41/2""x50CRO",,"Extensiones Rectas","VEB","Y"
"EX-FN-2451","EXT. RECTA DE 41/2""x90CMS",,"Extensiones Rectas","VEB","Y"
"EX-FN-2451-C","EXT. RECTA DE 41/2""x90CRO",,"Extensiones Rectas","VEB","Y"
"EX-FN-2452","EXT. RECTA DE 41/2""x 2MTS",,"Extensiones Rectas","VEB","Y"
"EX-FN-2452-C","EXT. RECTA DE 41/2""x2CROM",,"Extensiones Rectas","VEB","Y"
"EX-FN-2500","EXT. RECTA DE 5"" x 50 CMS",,"Extensiones Rectas","VEB","Y"
"EX-FN-2500-C","EXT. RECTA DE 5"" x 50CROM",,"Extensiones Rectas","VEB","Y"
"EX-FN-2501","EXT. RECTA DE 5"" x 90 CMS",,"Extensiones Rectas","VEB","Y"
"EX-FN-2501-C","EXT. RECTA DE 5"" x 90CROM",,"Extensiones Rectas","VEB","Y"
"EX-FN-2502","EXT. RECTA DE 5"" x 2 MTS",,"Extensiones Rectas","VEB","Y"
"EX-FN-2502-C","EXT. RECTA DE 5"" x 2 CROM",,"Extensiones Rectas","VEB","Y"
