"product_sku","product_name","product_s_desc","category_path","product_currency","product_publish"
"FB-100","FLEXIBLE PARA TOYOTA",,"Flexibles con Boquillas","VEB","Y"
"FB-100-C","FLEXIBLE P/TOY.CROMADO",,"Flexibles con Boquillas","VEB","Y"
"FB-135","FLEXIBLE C/BOQUILLA 1 3/4",,"Flexibles con Boquillas","VEB","Y"
"FB-175","FLEXIBLE C/BOQUILLA 1 7/8",,"Flexibles con Boquillas","VEB","Y"
"FB-200","FLEXIBLE C/BOQUILLA 2""",,"Flexibles con Boquillas","VEB","Y"
"FB-240","FLEXIBLE C/BOQUILLA 2 1/4",,"Flexibles con Boquillas","VEB","Y"
"FB-250","FLEXIBLE C/BOQUILLA 2 1/2",,"Flexibles con Boquillas","VEB","Y"
"FB-300","FLEXIBLE C/BOQUILLA 3""",,"Flexibles con Boquillas","VEB","Y"
"FB-350","FLEXIBLE C/BOQUILLA 3 1/2",,"Flexibles con Boquillas","VEB","Y"
"FB-400","FLEXIBLE C/BOQUILLA 4""",,"Flexibles con Boquillas","VEB","Y"
"FB-500","FLEXIBLE C/BOQUILLA 5""",,"Flexibles con Boquillas","VEB","Y"
