"product_sku","product_name","product_s_desc","category_path","product_currency","product_publish"
"MP-250","MALLA PROT.P/TUB.21/2""",,"Mallas Protectoras","VEB","Y"
"MP-250-C","MALLA PROT.CROMADA 21/2""",,"Mallas Protectoras","VEB","Y"
"MP-300","MALLA PROT.P/TUBO 3""",,"Mallas Protectoras","VEB","Y"
"MP-300-C","MALLA PROT.CROMADA DE 3""",,"Mallas Protectoras","VEB","Y"
"MP-350","MALLA PROT.P/TUBO 31/2""",,"Mallas Protectoras","VEB","Y"
"MP-350-C","MALLA PROT.CROMADA 31/2""",,"Mallas Protectoras","VEB","Y"
"MP-400","MALLA PROT.P/TUBO DE 4""",,"Mallas Protectoras","VEB","Y"
"MP-400-C","MALLA PROT.CROMADA DE 4""",,"Mallas Protectoras","VEB","Y"
"MP-500","MALLA PROT.P/TUBO DE 5""",,"Mallas Protectoras","VEB","Y"
"MP-500-C","MALLA PROT.CROMADA DE 5""",,"Mallas Protectoras","VEB","Y"
"MP-900","MALLA PROT. P/SIL. 1.00 x 9""",,"Mallas Protectoras","VEB","Y"
"MP-900-C","MALLA PROT. P/ SIL. 1.00 x 9 CROM.",,"Mallas Protectoras","VEB","Y"
"MP-900-0-C","MALLA PROT. P/ SIL. 1.00 x 9 CROM.","ORIGINAL RANURAS","Mallas Protectoras","VEB","Y"
"MP-900-1","MALLA PROT. P/SIL. EN L",,"Mallas Protectoras","VEB","Y"
"MP-900-1-C","MALLA PROT.CROM P/SIL. EN L",,"Mallas Protectoras","VEB","Y"
"MP-SC-110","MALLA PROT. P/SIL. MACK 1.10",,"Mallas Protectoras","VEB","Y"
"MP-SC-110-C","MALLA P/SIL.MACK 1.10 CROM.",,"Mallas Protectoras","VEB","Y"
"MP-SC-110-1","MALLA PROT. P/ SIL. MACK  9""  X 1.10",,"Mallas Protectoras","VEB","Y"
"MP-SC-110-1-C","MALLA PROT. SIL. MACK  9  X 1.10 CROM.",,"Mallas Protectoras","VEB","Y"
"MP-SC-110-1-0-C","MALLA PROT SIL. MACK IMP  9  X 1.10 CR.","ORIGINAL RANURAS","Mallas Protectoras","VEB","Y"
"MP-SC-115","MALLA PROT. P/SIL. MACK  1.15",,"Mallas Protectoras","VEB","Y"
"MP-SC-115-C","MALLA P/SIL. MACK 1.15CROM.",,"Mallas Protectoras","VEB","Y"
"MP-SC-115-1","MALLA PROT. P/SIL.  9"" X 1.15",,"Mallas Protectoras","VEB","Y"
"MP-SC-115-1-C","MALLA P/SIL.  9"" X 1.15  CROM.",,"Mallas Protectoras","VEB","Y"
"MP-SC-115-1-0-C","MALLA P/SIL.  9"" X 1.15  CROM.","ORIGINAL RANURAS","Mallas Protectoras","VEB","Y"
"MP-SC-G","MALLA PROT.P/SIL.GURI 8""",,"Mallas Protectoras","VEB","Y"
"MP-SC-G-C","MALLA PROT.P/SIL.GURI 8"" CROM.",,"Mallas Protectoras","VEB","Y"
"MP-SC-M","MALLA PROT.P/SIL.MACK 8""",,"Mallas Protectoras","VEB","Y"
"MP-SC-MC","MALLA PROT.P/SIL.MACK 8"" CROM.",,"Mallas Protectoras","VEB","Y"
"MP-SC-MC-0","MALLA PROT.P/SIL.MACK  8"" CROM.","ORIGINAL RANURAS","Mallas Protectoras","VEB","Y"
"MP-FN-AL-90","MALLA PROT.P/SIL.MACK 8"" ALUM.",,"Mallas Protectoras","VEB","Y"
