"product_sku","product_name","product_s_desc","category_path","product_currency","product_publish"
"RU-FN-90","RESONADOR C/COLA BORD 4""",,"Resonadores Cromados","VEB","Y"
"RU-FN-901","RESONADOR C/COLA BORD 3 1/2""",,"Resonadores Cromados","VEB","Y"
"RU-FN-902","RESONADOR C/C BORD EXTER 3""",,"Resonadores Cromados","VEB","Y"
"RU-FN-903","RESONADOR C/C C/ARRIBA 3""",,"Resonadores Cromados","VEB","Y"
"RU-FN-904","RESONADOR C/C C/A OVA 3""",,"Resonadores Cromados","VEB","Y"
"RU-FN-905","RESONADOR C/C DOBLE BORD 4""",,"Resonadores Cromados","VEB","Y"
"RU-FN-906","MINI RES C/C DOBLE 3 1/2""",,"Resonadores Cromados","VEB","Y"
"RU-FN-907","MINI RES C/C 3 1/2"" C/RES.",,"Resonadores Cromados","VEB","Y"
"RU-FN-908","RESONADOR C/C CUADRADA 41/2",,"Resonadores Cromados","VEB","Y"
"RU-FN-909","MINI RES C/C 4"" CUADRADA.",,"Resonadores Cromados","VEB","Y"
