"product_sku","product_name","product_s_desc","category_path","product_currency","product_publish"
"SC-TL-001","SIL. LANDINI 13000 3"" PUL","(OVALADO DE 3"")","Silenciador Tractor Landini","VEB","Y"
"SC-TL-001-1","SIL. LANDINI 13000 3"" GAL","(OVALADO DE 3"")","Silenciador Tractor Landini","VEB","Y"
"SC-TL-002","SIL. LANDINI 12500 DE 3""","(OVALADO DE 3"")","Silenciador Tractor Landini","VEB","Y"
"SC-TL-002-G","SIL. LANDINI 12500 3"" GAL","(OVALADO DE 3"")","Silenciador Tractor Landini","VEB","Y"
"SC-TL-003","SIL. LANDINI 14500 S/T","(OVALADO DE 3 1/2)","Silenciador Tractor Landini","VEB","Y"
"SC-TL-003-G","SIL. LANDINI 14500 S/TGAL","(OVALADO DE 3 1/2)","Silenciador Tractor Landini","VEB","Y"
"SC-TL-004","SIL. LANDINI 14500 C/T","(OVALADO DE 3 1/2)","Silenciador Tractor Landini","VEB","Y"
"SC-TL-004-G","SIL. LANDINI 14500 C/TGAL","(OVALADO DE 3 1/2)","Silenciador Tractor Landini","VEB","Y"
"SC-TL-005","SIL. LANDINI 12000 DE 3""","(OVALADO DE 3"")","Silenciador Tractor Landini","VEB","Y"
"SC-TL-005-1","SIL.LANDINI 12000 3"" C/T","(CON TURBO)","Silenciador Tractor Landini","VEB","Y"
"SC-TL-005-G","SIL. LANDINI 12000 3"" GAL","(OVALADO DE 3"")","Silenciador Tractor Landini","VEB","Y"
"SC-TL-006","SIL. LANDINI 8860-7880","(REDONDO 5"" X 2"")","Silenciador Tractor Landini","VEB","Y"
"SC-TL-006-G","SIL. LANDINI 8860-7880GAL","(REDONDO 5"" X 2"")","Silenciador Tractor Landini","VEB","Y"
"SC-TL-007","SIL. LANDINI 10000 DE 3""","(OVALADO DE 3"")","Silenciador Tractor Landini","VEB","Y"
"SC-TL-008","SIL. LANDINI 8600 DE 21/4","(REDONDO DE 21/4"")","Silenciador Tractor Landini","VEB","Y"
