"product_sku","product_name","product_s_desc","category_path","product_currency","product_publish"
"SC-FD-001","SIL. BACHACO DE 2 1/2"" CF","(2E - 1S C/CAMARA)","Silenciadores Camiones/Camiones Ford","VEB","Y"
"SC-FD-002","SIL. BACHACO DE 2 1/2"" SF","(2E - 1S  VACIO)","Silenciadores Camiones/Camiones Ford","VEB","Y"
"SC-FD-003","SIL. BACHACO DE 3"" C/F","(2E - 1S C/CAMARA)","Silenciadores Camiones/Camiones Ford","VEB","Y"
"SC-FD-004","SIL. BACHACO DE 3"" S/F","(2E - 1S S/CAMARA)","Silenciadores Camiones/Camiones Ford","VEB","Y"
"SC-FD-012","SIL. FORD 750 DE 3"" C/F","(COLA 3"" C/CAMARA)","Silenciadores Camiones/Camiones Ford","VEB","Y"
"SC-FD-013","SIL. FORD 750 DE 3"" S/F","(COLA 3"" S/CAMARA)","Silenciadores Camiones/Camiones Ford","VEB","Y"
"SC-FD-013-1","SIL. FORD 750 3"" X 8"" S/F","(COLA 3"" S/CAMARA)","Silenciadores Camiones/Camiones Ford","VEB","Y"
"SC-FD-013-2","SIL. FORD 750 3"" X 8"" C/F","(COLA 3"" C/CAMARA)","Silenciadores Camiones/Camiones Ford","VEB","Y"
"SC-FD-014","SIL. FORD 600 2 1/2"" C/F","(C/CAMARA)","Silenciadores Camiones/Camiones Ford","VEB","Y"
"SC-FD-015","SIL. FORD 600 2 1/2"" S/F","(S/CAMARA - VACIO)","Silenciadores Camiones/Camiones Ford","VEB","Y"
"SC-FD-015-1","SIL.FORD 600 21/2""xTP8""SF","(S/CAMARA Y COLA)","Silenciadores Camiones/Camiones Ford","VEB","Y"
"SC-FD-015-2","SIL.FORD 600 21/2""xTP8""CF","(C/CAMARA Y COLA)","Silenciadores Camiones/Camiones Ford","VEB","Y"
"SC-FD-046","SIL. FORD 8000 DE 4""","(O V A L A D O )","Silenciadores Camiones/Camiones Ford","VEB","Y"
"SC-FD-047","SIL. FORD 7000 DE 4""","(R E D O N D O )","Silenciadores Camiones/Camiones Ford","VEB","Y"
