"product_sku","product_name","product_s_desc","category_path","product_currency","product_publish"
"SC-FP-001","SIL. 5"" X 8"" X 30 CMTS C/SELLO",,"Silenciadores Camiones/Silenciadores Camiones Diesel","VEB","Y"
"SC-FP-002","SIL. 5"" X 8"" X 50 CMTS","(INTERN Y GURI 5"")","Silenciadores Camiones/Silenciadores Camiones Diesel","VEB","Y"
"SC-FP-002-1","SIL. 5"" X 8"" X 1,OO MTS","(INTERN MOTOR 290)","Silenciadores Camiones/Silenciadores Camiones Diesel","VEB","Y"
"SC-FP-002-1C","SIL. 5"" X 8"" X 1,OO CROM","(INTERN MOTOR 290)","Silenciadores Camiones/Silenciadores Camiones Diesel","VEB","Y"
"SC-FP-002-2","SIL. 5"" X 9"" X 1,OO MTS","(FORD GURI 9000)","Silenciadores Camiones/Silenciadores Camiones Diesel","VEB","Y"
"SC-FP-002-2C","SIL. 5"" X 9"" X 1,OO CROM","(FORD GURI 9000)","Silenciadores Camiones/Silenciadores Camiones Diesel","VEB","Y"
"SC-FP-002-3","SIL. 5"" X 8"" X 35 CMTS","(FORD GURI 9000)","Silenciadores Camiones/Silenciadores Camiones Diesel","VEB","Y"
"SC-FP-002-4","SIL. 5"" X 8"" X 87 CMTS.","(CAMIONES MACK)","Silenciadores Camiones/Silenciadores Camiones Diesel","VEB","Y"
"SC-FP-002-4-C","SIL. 5"" x 8"" x 87CTS CROM","(MACK CROMADO)","Silenciadores Camiones/Silenciadores Camiones Diesel","VEB","Y"
"SC-FP-002-5","SIL. 4"" X 8"" X 1.15 MTS.","(CAMIONES MACK)","Silenciadores Camiones/Silenciadores Camiones Diesel","VEB","Y"
"SC-FP-002-6","SIL. 4"" X 5"" X 9"" X 1.10 MTS.","(CAMIONES MACK)","Silenciadores Camiones/Silenciadores Camiones Diesel","VEB","Y"
"SC-FP-002-6C","SIL. 4"" X 5"" X 9"" X 1.10 MTS.CROMADO",,"Silenciadores Camiones/Silenciadores Camiones Diesel","VEB","Y"
"SC-FP-002-6-1-C","SIL. 4"" X 5"" X 9"" X 1,15 MTS. CROM",,"Silenciadores Camiones/Silenciadores Camiones Diesel","VEB","Y"
"SC-FP-002-7","SIL. 5"" X 8"" X 1,10 MTS.",,"Silenciadores Camiones/Silenciadores Camiones Diesel","VEB","Y"
"SC-FP-002-7-1","SIL. 5"" X 9"" X 1.10 MTS.",,"Silenciadores Camiones/Silenciadores Camiones Diesel","VEB","Y"
"SC-FP-002-7C","SIL. 5"" X 8"" X 1,1O MTS CROMADO",,"Silenciadores Camiones/Silenciadores Camiones Diesel","VEB","Y"
"SC-FP-002-8-1C","SIL. 5"" X 9"" X 1,1O MTS CROMADO",,"Silenciadores Camiones/Silenciadores Camiones Diesel","VEB","Y"
"SC-FP-002-8-2C","SIL. 5"" X 9"" X 1,15 MTS CROMADO",,"Silenciadores Camiones/Silenciadores Camiones Diesel","VEB","Y"
"SC-FP-002-8-3C","SIL. 4"" X 5"" X 8"" X 1,10 MTS CROMADO",,"Silenciadores Camiones/Silenciadores Camiones Diesel","VEB","Y"
"SC-FP-003","SIL. 4"" X 8"" X 1.10 MTS","(INTERN MOTOR 230)","Silenciadores Camiones/Silenciadores Camiones Diesel","VEB","Y"
