"product_sku","product_name","product_s_desc","category_path","product_currency","product_publish"
"SC-JD-001","SIL. JHON DEERE 2030-4420","(4320-4220)","Silenciadores Jhon Deere","VEB","Y"
"SC-JD-002","SIL. JHON DEERE 4240",-4240,"Silenciadores Jhon Deere","VEB","Y"
"SC-JD-003","SIL. JHON DEERE 4440",-4440,"Silenciadores Jhon Deere","VEB","Y"
"SC-JD-004","SIL. JHON DEERE 8640","(OVALADO DE 5"")","Silenciadores Jhon Deere","VEB","Y"
"SC-JD-005","SIL. JHON DEERE 7520","(OVALADO DE 5"")","Silenciadores Jhon Deere","VEB","Y"
"SC-JD-006","SIL.JOHN DEERE 31/2""x 4""","(TRACTOR FORD 7600","Silenciadores Jhon Deere","VEB","Y"
"SC-JD-007","SIL.JHON DEERE 2850","(REDONDO DE 7 3/4)","Silenciadores Jhon Deere","VEB","Y"
"SC-JD-008","SIL.JHON DEERE 4276","(REDONDO DE 6 3/4)","Silenciadores Jhon Deere","VEB","Y"
"SC-JD-009","SIL.JHON DEERE 4220",-4220,"Silenciadores Jhon Deere","VEB","Y"
"SC-JD-010","SIL.JHON DEERE 3350","(3350 OVALADO)","Silenciadores Jhon Deere","VEB","Y"
