"product_sku","product_name","product_s_desc","category_path","product_currency","product_publish"
"SU-FN-35","SIL. UNIV 4 CIL C/CAMARA","(C/CAMARA)","Silenciadores Universales","VEB","Y"
"SU-FN-35-D","SIL. UNIV 4 CIL (DIRECTO)","(DIRECTO)","Silenciadores Universales","VEB","Y"
"SU-FN-40","SIL. UNIV 6 CIL C/CAMARA","(C/CAMARA)","Silenciadores Universales","VEB","Y"
"SU-FN-40-D","SIL. UNIV 6 CIL (DIRECTO)","(DIRECTO)","Silenciadores Universales","VEB","Y"
"SU-FN-50","SIL. UNIV 8 CIL C/CAMARA","(C/CAMARA)","Silenciadores Universales","VEB","Y"
"SU-FN-50-C","SIL. UNIV P/MALIBU C/COLA","(C/C0LA","Silenciadores Universales","VEB","Y"
"SU-FN-50-D","SIL. UNIV 8 CIL (DIRECTO)","(DIRECTO)","Silenciadores Universales","VEB","Y"
"SU-FN-51","SIL. UNIV P/MALIBU S/COLA","(S/COLA)","Silenciadores Universales","VEB","Y"
"SU-FN-60","SIL. UNIV F-100 S/COLA CC","(S/COLA)","Silenciadores Universales","VEB","Y"
"SU-FN-60-1","SIL. UNIV F-100 C/C (DIR)","(C/C 2 1/4 DIRECTO","Silenciadores Universales","VEB","Y"
"SU-FN-60-C","SIL. UNIV F-100 C/C (C/C","(C/COLA 2 1/4)","Silenciadores Universales","VEB","Y"
"SU-FN-60-D","SIL. UNIV F-100 S/C (DIR)","(S/COLA-DIRECTO)","Silenciadores Universales","VEB","Y"
"SU-FN-70","SIL. UNIV F-600 S/COLA CC","(S/COLA)","Silenciadores Universales","VEB","Y"
"SU-FN-70-1","SIL. UNIV F-600 C/C (DIR)","(C/COLA 21/2 DIR)","Silenciadores Universales","VEB","Y"
"SU-FN-70-C","SIL. UNIV F-600 C/COLA CC","(C/COLA DE 2 1/2)","Silenciadores Universales","VEB","Y"
"SU-FN-70-D","SIL. UNIV F-600 S/C (DIR)","(S/COLA DIRECTO)","Silenciadores Universales","VEB","Y"
"SU-FN-72","SIL. UNIV F-600 C/COLA CC","(C/COLA 2 1/2 C/C)","Silenciadores Universales","VEB","Y"
"SU-FN-72-D","SIL. UNIV F-600 C/COLA D","(C/COLA 2 1/2 DIR)","Silenciadores Universales","VEB","Y"
"SU-FN-73","SIL.F-750 S/COLA C/CAMARA","PARA FORD 750","Silenciadores Universales","VEB","Y"
