"product_sku","product_name","product_s_desc","category_path","product_currency","product_publish"
"SC-FP-049","SIL.BRONCO ADAPTACION 8""",,"Silenciadores Versatiles","VEB","Y"
"SC-FP-050","SIL.CHEYENNE ADAPTACION",,"Silenciadores Versatiles","VEB","Y"
"SC-FP-051","SIL.ZAMURAY ADAPTACION",,"Silenciadores Versatiles","VEB","Y"
"SC-FP-053","SIL. VERSATIL 4 CIL",,"Silenciadores Versatiles","VEB","Y"
"SC-FP-053-1","SIL. VERSATL 4 CIL ","(CENTRO-CENTRO)","Silenciadores Versatiles","VEB","Y"
"SC-FP-054","SIL. VERSATIL 6 Y 8 CIL","(45 CMTS)","Silenciadores Versatiles","VEB","Y"
"SC-FP-055","SIL. VERSATIL 8 CIL","(55 CMTS)","Silenciadores Versatiles","VEB","Y"
"SC-FP-056","SIL. CHEYENNE 1500-3500","(ADAPT. 2 E / 1S)","Silenciadores Versatiles","VEB","Y"
"SC-FP-056-1","SIL. TRITON VERSATIL (OVALADO)","(ADAPT. 1 E / 1S)","Silenciadores Versatiles","VEB","Y"
"SC-FP-057","SIL. BRONCO VERSATIL 7"" ","BOCA 2 1/4","Silenciadores Versatiles","VEB","Y"
"SC-FP-0571","SIL. BRONCO VRSTL 7"" DOBLE FILTRO ","BOCA 2 1/4","Silenciadores Versatiles","VEB","Y"
