"product_sku","product_name","product_s_desc","category_path","product_currency","product_publish"
"SI-S-0001","SILENC NO. 3 K 3 1 2 4","(REDONDO DE 3"")","Silenciadores y Extensiones Caterpillar/Silenciadores para Caterpillar","VEB","Y"
"SI-S-0001-G","SILENC NO. 3 K 3 1 2 4GAL","(REDONDO DE 3"")","Silenciadores y Extensiones Caterpillar/Silenciadores para Caterpillar","VEB","Y"
"SI-S-0002","SILENC NO. 4 P 0 6 6 0","(REDONDO DE 3"")","Silenciadores y Extensiones Caterpillar/Silenciadores para Caterpillar","VEB","Y"
"SI-S-0002-G","SILENC NO. 4 P O 6 6 0GAL","(REDONDO DE 3"")","Silenciadores y Extensiones Caterpillar/Silenciadores para Caterpillar","VEB","Y"
"SI-S-0003","SILENC NO. 9 S 9 3 2 8","(REDONDO DE 4"")","Silenciadores y Extensiones Caterpillar/Silenciadores para Caterpillar","VEB","Y"
"SI-S-0003-G","SILENC NO. 9 S 9 3 2 8GAL","(REDONDO DE 4"")","Silenciadores y Extensiones Caterpillar/Silenciadores para Caterpillar","VEB","Y"
"SI-S-0004","SILENC NO. 7 S 8 4 4 3","(REDONDO DE 4 1/2)","Silenciadores y Extensiones Caterpillar/Silenciadores para Caterpillar","VEB","Y"
"SI-S-0004-G","SILENC NO. 7 S 8 4 4 3GAL","(REDONDO DE 4 1/2)","Silenciadores y Extensiones Caterpillar/Silenciadores para Caterpillar","VEB","Y"
"SI-S-0005","SILENC NO. 1 P 0 4 0 8","(REDONDO DE 4 1/2)","Silenciadores y Extensiones Caterpillar/Silenciadores para Caterpillar","VEB","Y"
"SI-S-0005-G","SILENC NO. 1 P 0 4 0 8GAL","(REDONDO DE 4 1/2)","Silenciadores y Extensiones Caterpillar/Silenciadores para Caterpillar","VEB","Y"
"SI-S-0006","SILENC NO. 8 S 2 8 0 9","(OVALADO DE 4 1/2)","Silenciadores y Extensiones Caterpillar/Silenciadores para Caterpillar","VEB","Y"
"SI-S-0006-G","SILENC NO. 8 S 2 8 0 9GAL","(OVALADO DE 4 1/2)","Silenciadores y Extensiones Caterpillar/Silenciadores para Caterpillar","VEB","Y"
"SI-S-0007","SILENC NO. 7 N 8 1 1 7","(OVALADO 4 1/2 C/T","Silenciadores y Extensiones Caterpillar/Silenciadores para Caterpillar","VEB","Y"
"SI-S-0007-G","SILENC NO. 7 N 8 1 1 7GAL","(OVALADO 4 1/2 C/T","Silenciadores y Extensiones Caterpillar/Silenciadores para Caterpillar","VEB","Y"
"SI-S-0008","SILENC NO. 8 M 3 2 2 4","(REDONDO DE 1 1/2)","Silenciadores y Extensiones Caterpillar/Silenciadores para Caterpillar","VEB","Y"
"SI-S-0008-G","SILENC NO. 8 M 3 2 2 4GAL","(REDONDO DE 1 1/2)","Silenciadores y Extensiones Caterpillar/Silenciadores para Caterpillar","VEB","Y"
"SI-S-0009","SILENC NO. 8 S 0 9 0 5","(REDONDO DE 4 A 6""","Silenciadores y Extensiones Caterpillar/Silenciadores para Caterpillar","VEB","Y"
"SI-S-0009-G","SILENC NO. 8 S 0 9 0 5GAL","(REDONDO DE 4 A 6""","Silenciadores y Extensiones Caterpillar/Silenciadores para Caterpillar","VEB","Y"
"SI-S-0010","SILENC NO. 4 N 5 1 9 1","(OVALADO DE 5 A 4)","Silenciadores y Extensiones Caterpillar/Silenciadores para Caterpillar","VEB","Y"
